Customer ID,Feedback Channel,Rating,Date,Comment
C00444,Email,2,12/9/2024 0:00,Product didn't meet expectations.
C00277,Email,5,11/6/2024 0:00,Best shopping experience I've had in a while!
C00161,Social Media,5,11/9/2024 0:00,Very professional and efficient service.
C00460,Social Media,2,11/20/2024 0:00,Would not recommend to others. Quick response on social media.
C00314,Survey,5,12/30/2024 0:00,Best shopping experience I've had in a while!
C00022,Email,5,11/1/2024 0:00,Excellent service! Very satisfied with my purchase.
C00253,Email,,11/8/2024 0:00,Excellent service! Very satisfied with my purchase.
C00236,Social Media,,12/25/2024 0:00,Would not recommend to others. Quick response on social media.
C00345,Email,1,11/23/2024 0:00,Product didn't meet expectations.
C00049,Social Media,5,11/3/2024 0:00,Great value for money. Highly recommended!
C00475,Email,5,11/4/2024 0:00,Really happy with the quality and delivery time.
C00059,Survey,4,12/28/2024 0:00,Excellent service! Very satisfied with my purchase.
C00170,Email,4,11/25/2024 0:00,Very professional and efficient service.
C00476,Email,,12/17/2024 0:00,Really happy with the quality and delivery time.
C00188,Social Media,4,12/8/2024 0:00,Outstanding customer support team. Quick response on social media.
C00464,Email,,11/15/2024 0:00,Could use some improvements but generally fine.
C00271,Email,1,11/21/2024 0:00,Need to improve product quality.
C00190,Social Media,5,12/5/2024 0:00,Best shopping experience I've had in a while!
C00446,Survey,3,2024/27/12,N/A
C00175,Survey,5,12/23/2024 0:00,Really happy with the quality and delivery time.
C00446,Social Media,3,12/23/2024 0:00,"Not bad, not great either."
C00051,Social Media,1,12/16/2024 0:00,Long waiting times for customer support. Quick response on social media.
C00364,Social Media,2,12/22/2024 0:00,Disappointed with the service quality.
C00055,Social Media,4,11/14/2024 0:00,Outstanding customer support team.
C00244,Social Media,5,12/6/2024 0:00,Excellent service! Very satisfied with my purchase.
C00320,Survey,2,,Would not recommend to others. Thanks for the survey follow-up.
C00131,Survey,5,11/17/2024 0:00,Excellent service! Very satisfied with my purchase.
,Social Media,4,12/9/2024 0:00,Best shopping experience I've had in a while!
C00307,Email,5,11/9/2024 0:00,Very professional and efficient service.
C00135,Social Media,3,12/5/2024 0:00,Decent experience overall. Quick response on social media.
C00021,Email,5,,Really happy with the quality and delivery time.
,,5,11/13/2024 0:00,Outstanding customer support team.
C00167,Social Media,3,,Could use some improvements but generally fine.
C00274,Survey,2,11/18/2024 0:00,
C00388,Email,5,12/21/2024 0:00,Best shopping experience I've had in a while!
C00089,Email,5,12/3/2024 0:00,The product exceeded my expectations. Will buy again!
C00316,Survey,1,11/6/2024 0:00,Product didn't meet expectations. Thanks for the survey follow-up.
C00014,Survey,5,12/29/2024 0:00,Really happy with the quality and delivery time.
C00242,Survey,5,11/27/2024 0:00,Best shopping experience I've had in a while!
C00265,Survey,5,11/23/2024 0:00,Great value for money. Highly recommended! Thanks for the survey follow-up.
C00346,,5,12/29/2024 0:00,Really happy with the quality and delivery time.
C00053,Email,5,11/27/2024 0:00,Great value for money. Highly recommended!
C00386,Social Media,4,12/4/2024 0:00,Really happy with the quality and delivery time.
C00340,Social Media,3,12/26/2024 0:00,Product meets basic expectations.
C00092,Survey,3,12/16/2024 0:00,
C00367,Survey,5,12/8/2024 0:00,The product exceeded my expectations. Will buy again! Thanks for the survey follow-up.
C00444,Survey,5,11/14/2024 0:00,Excellent service! Very satisfied with my purchase.
C00455,Social Media,3,12/6/2024 0:00,"Not bad, not great either."
C00428,Social Media,5,12/23/2024 0:00,Best shopping experience I've had in a while!
C00264,Social Media,5,11/8/2024 0:00,Really happy with the quality and delivery time.
C00431,Social Media,4,12/5/2024 0:00,
C00035,Social Media,4,11/19/2024 0:00,Outstanding customer support team. Quick response on social media.
C00206,Social Media,4,11/30/2024 0:00,Great value for money. Highly recommended!
C00081,Social Media,,,Need to improve product quality.
C00420,Survey,3,12/29/2024 0:00,Satisfactory purchase experience.
C00050,,1,2024/20/11,Disappointed with the service quality.
C00360,Survey,2,12/19/2024 0:00,
C00388,Survey,4,11/25/2024 0:00,Outstanding customer support team.
C00002,Social Media,4,12/10/2024 0:00,The product exceeded my expectations. Will buy again!
C00390,Email,1,11/24/2024 0:00,Need to improve product quality.
C00054,Social Media,,11/14/2024 0:00,Great value for money. Highly recommended! Quick response on social media.
C00106,Email,3,11/26/2024 0:00,Product meets basic expectations.
C00260,Survey,5,12/8/2024 0:00,Excellent service! Very satisfied with my purchase.
C00310,Social Media,5,11/23/2024 0:00,The product exceeded my expectations. Will buy again!
C00477,Survey,2,11/22/2024 0:00,
C00191,Social Media,4,12/18/2024 0:00,The product exceeded my expectations. Will buy again! Quick response on social media.
C00402,Survey,1,12/27/2024 0:00,
C00218,Email,4,11/19/2024 0:00,Best shopping experience I've had in a while!
C00044,Email,4,12/16/2024 0:00,...
C00162,Email,3,12/21/2024 0:00,Decent experience overall.
C00202,Social Media,4,11/3/2024 0:00,Best shopping experience I've had in a while!
C00446,Email,3,12/12/2024 0:00,Could use some improvements but generally fine. Response time could be faster.
C00484,Social Media,2,11/19/2024 0:00,Need to improve product quality.
C00270,Email,4,11/9/2024 0:00,Great value for money. Highly recommended!
C00351,Email,3,11/28/2024 0:00,"Not bad, not great either. Response time could be faster."
C00304,Social Media,4,11/20/2024 0:00,Really happy with the quality and delivery time. Quick response on social media.
C00271,Social Media,4,12/15/2024 0:00,Outstanding customer support team.
C00456,Email,5,11/7/2024 0:00,Outstanding customer support team.
C00462,Social Media,2,11/14/2024 0:00,Disappointed with the service quality.
C00215,Email,4,11/9/2024 0:00,Excellent service! Very satisfied with my purchase.
C00252,Social Media,4,12/29/2024 0:00,Great value for money. Highly recommended!
C00190,Survey,3,12/30/2024 0:00,Average service quality.
C00296,Survey,5,12/25/2024 0:00,Very professional and efficient service. Thanks for the survey follow-up.
C00213,Survey,5,12/27/2024 0:00,Very professional and efficient service.
C00208,Survey,4,12/30/2024 0:00,Really happy with the quality and delivery time.
C00237,Survey,5,11/19/2024 0:00,Excellent service! Very satisfied with my purchase.
C00338,Website,5,12/17/2024 0:00,NO COMMENT
C00367,Survey,5,12/22/2024 0:00,Great value for money. Highly recommended! Thanks for the survey follow-up.
C00053,Website,5,11/14/2024 0:00,Excellent service! Very satisfied with my purchase. Thanks for the survey follow-up.
C00280,Survey,5,12/26/2024 0:00,
C00410,Survey,2,12/8/2024 0:00,Product didn't meet expectations.
C00217,Social Media,2,12/23/2024 0:00,Product didn't meet expectations.
C00252,Email,4,12/6/2024 0:00,Excellent service! Very satisfied with my purchase.
C00188,Survey,1,12/10/2024 0:00,Product didn't meet expectations.
C00380,Survey,4,11/17/2024 0:00,Best shopping experience I've had in a while!
C00493,Survey,3,11/30/2024 0:00,Average service quality. Thanks for the survey follow-up.
,Email,3,11/9/2024 0:00,
C00157,Social Media,,12/3/2024 0:00,Excellent service! Very satisfied with my purchase. Quick response on social media.
,Email,5,12/26/2024 0:00,Outstanding customer support team. Response time could be faster.
C00301,Social Media,1,12/22/2024 0:00,Not worth the price paid. Quick response on social media.
C00065,Survey,4,11/25/2024 0:00,Excellent service! Very satisfied with my purchase.
C00345,,5,11/14/2024 0:00,The product exceeded my expectations. Will buy again!
,Email,1,11/11/2024 0:00,Not worth the price paid.
C00009,Website,5,12/23/2024 0:00,Outstanding customer support team.
C00344,Social Media,3,12/5/2024 0:00,N/A
C00129,Social Media,3,12/11/2024 0:00,"Not bad, not great either."
C00492,Email,5,12/29/2024 0:00,Best shopping experience I've had in a while! Response time could be faster.
C00136,,3,11/14/2024 0:00,Product meets basic expectations. Quick response on social media.
C00472,Email,4,11/30/2024 0:00,Best shopping experience I've had in a while!
C00063,Social Media,5,12/11/2024 0:00,Very professional and efficient service.
C00139,Email,1,11/4/2024 0:00,Poor communication from the team. Response time could be faster.
C00499,Email,99,12/29/2024 0:00,Very professional and efficient service. Response time could be faster.
C00081,Email,5,11/4/2024 0:00,Very professional and efficient service.
C00392,Social Media,2,11/28/2024 0:00,Not worth the price paid.
C00163,Social Media,5,11/8/2024 0:00,Very professional and efficient service.
C00419,Social Media,4,11/2/2024 0:00,Very professional and efficient service.
C00289,Email,4,12/11/2024 0:00,The product exceeded my expectations. Will buy again! Response time could be faster.
C00379,Social Media,4,12/16/2024 0:00,Very professional and efficient service.
C00261,Social Media,3,11/22/2024 0:00,Product meets basic expectations. Quick response on social media.
C00490,Email,5,12/11/2024 0:00,Very professional and efficient service.
C00231,Survey,5,2024/26/12,Best shopping experience I've had in a while! Thanks for the survey follow-up.
C00041,Email,4,12/25/2024 0:00,Great value for money. Highly recommended!
C00028,Social Media,5,11/16/2024 0:00,Very professional and efficient service. Quick response on social media.
,Email,4,11/29/2024 0:00,Outstanding customer support team. Response time could be faster.
C00201,Survey,4,12/19/2024 0:00,
C00328,,4,12/18/2024 0:00,Very professional and efficient service. Response time could be faster.
,Social Media,4,11/30/2024 0:00,Best shopping experience I've had in a while! Quick response on social media.
C00418,Survey,4,11/12/2024 0:00,Really happy with the quality and delivery time.
C00033,Invalid,99,12/5/2024 0:00,Best shopping experience I've had in a while!
C00048,Survey,4,11/11/2024 0:00,Outstanding customer support team. Thanks for the survey follow-up.
C00407,Survey,1,12/16/2024 0:00,Need to improve product quality. Thanks for the survey follow-up.
C00062,,2,12/20/2024 0:00,Disappointed with the service quality.
C00216,Email,4,2024/21/11,Excellent service! Very satisfied with my purchase.
,Social Media,5,2024/21/11,Outstanding customer support team.
C00099,Email,4,11/5/2024 0:00,Best shopping experience I've had in a while!
C00172,Email,4,12/18/2024 0:00,The product exceeded my expectations. Will buy again!
C00360,Survey,4,11/20/2024 0:00,Outstanding customer support team.
,Email,4,12/7/2024 0:00,Great value for money. Highly recommended!
C00475,Survey,3,11/3/2024 0:00,Average service quality.
C00035,Survey,4,12/14/2024 0:00,Really happy with the quality and delivery time.
C00449,Survey,5,12/3/2024 0:00,Very professional and efficient service. Thanks for the survey follow-up.
C00227,Social Media,5,12/23/2024 0:00,Excellent service! Very satisfied with my purchase.
C00101,Social Media,4,11/9/2024 0:00,Really happy with the quality and delivery time.
C00431,Social Media,1,11/9/2024 0:00,Long waiting times for customer support.
C00462,Survey,2,11/4/2024 0:00,Need to improve product quality.
C00131,Social Media,1,12/5/2024 0:00,Long waiting times for customer support.
C00257,Social Media,4,11/17/2024 0:00,The product exceeded my expectations. Will buy again!
C00005,Email,3,12/4/2024 0:00,Satisfactory purchase experience.
C00218,Social Media,4,11/24/2024 0:00,Excellent service! Very satisfied with my purchase.
C00255,Social Media,4,12/2/2024 0:00,Really happy with the quality and delivery time. Quick response on social media.
C00398,Survey,1,11/1/2024 0:00,Long waiting times for customer support.
C00359,Survey,4,11/8/2024 0:00,Best shopping experience I've had in a while!
C00283,Survey,,12/15/2024 0:00,"Service was okay, nothing special. Thanks for the survey follow-up."
C00393,Survey,4,11/23/2024 0:00,N/A
C00207,Survey,3,12/17/2024 0:00,Decent experience overall.
C00015,Survey,5,12/10/2024 0:00,
C00346,Social Media,2,11/12/2024 0:00,Would not recommend to others.
C00042,Survey,5,12/24/2024 0:00,
C00380,Survey,4,11/12/2024 0:00,Very professional and efficient service. Thanks for the survey follow-up.
C00461,Email,5,12/16/2024 0:00,The product exceeded my expectations. Will buy again! Response time could be faster.
C00179,Social Media,4,12/17/2024 0:00,The product exceeded my expectations. Will buy again! Quick response on social media.
C00063,Social Media,5,2024/15/11,Very professional and efficient service. Quick response on social media.
C00352,Social Media,5,12/11/2024 0:00,Really happy with the quality and delivery time. Quick response on social media.
C00231,Survey,4,11/19/2024 0:00,Really happy with the quality and delivery time.
C00241,Survey,4,11/26/2024 0:00,Outstanding customer support team.
C00052,Survey,4,12/22/2024 0:00,Best shopping experience I've had in a while!
C00096,Invalid,4,11/29/2024 0:00,Outstanding customer support team. Response time could be faster.
C00388,Survey,1,11/22/2024 0:00,Poor communication from the team.
C00222,Email,3,12/10/2024 0:00,Product meets basic expectations. Response time could be faster.
C00485,Social Media,4,11/21/2024 0:00,Excellent service! Very satisfied with my purchase.
C00407,Invalid,4,12/21/2024 0:00,Outstanding customer support team. Thanks for the survey follow-up.
C00231,Email,5,12/8/2024 0:00,Outstanding customer support team.
C00237,Email,4,11/20/2024 0:00,
C00143,Survey,5,12/27/2024 0:00,The product exceeded my expectations. Will buy again!
C00171,Social Media,0,11/29/2024 0:00,Product meets basic expectations. Quick response on social media.
C00029,Social Media,3,12/21/2024 0:00,"Not bad, not great either. Quick response on social media."
C00036,Social Media,3,11/4/2024 0:00,Could use some improvements but generally fine.
C00013,Email,4,12/25/2024 0:00,The product exceeded my expectations. Will buy again! Response time could be faster.
C00160,Email,5,11/7/2024 0:00,Very professional and efficient service.
C00327,Email,3,11/28/2024 0:00,Average service quality.
C00187,Email,5,11/28/2024 0:00,Great value for money. Highly recommended!
C00243,Social Media,4,,Very professional and efficient service. Quick response on social media.
C00086,Survey,4,11/22/2024 0:00,Excellent service! Very satisfied with my purchase.
C00284,Email,4,11/12/2024 0:00,Outstanding customer support team.
,Email,3,12/15/2024 0:00,"Not bad, not great either."
C00170,Social Media,0,11/3/2024 0:00,Excellent service! Very satisfied with my purchase.
C00045,Survey,4,11/22/2024 0:00,Outstanding customer support team.
C00062,Survey,1,12/14/2024 0:00,Need to improve product quality.
C00441,Social Media,,11/2/2024 0:00,The product exceeded my expectations. Will buy again!
C00134,Social Media,1,11/24/2024 0:00,Not worth the price paid.
C00284,Survey,4,12/4/2024 0:00,Best shopping experience I've had in a while!
C999999,Email,4,11/27/2024 0:00,Very professional and efficient service. Response time could be faster.
C00108,Survey,4,12/25/2024 0:00,Really happy with the quality and delivery time.
C00044,Social Media,4,12/11/2024 0:00,Excellent service! Very satisfied with my purchase.
C00340,Email,1,11/1/2024 0:00,Poor communication from the team.
C00286,Email,4,11/8/2024 0:00,The product exceeded my expectations. Will buy again!
C00446,Social Media,3,11/23/2024 0:00,Average service quality.
C00331,Social Media,3,12/8/2024 0:00,
C00128,Social Media,5,11/6/2024 0:00,Really happy with the quality and delivery time.
C00348,Survey,1,11/22/2024 0:00,Need to improve product quality.
C00473,,4,11/25/2024 0:00,The product exceeded my expectations. Will buy again!
C00231,Email,4,11/18/2024 0:00,Great value for money. Highly recommended!
,Social Media,3,11/17/2024 0:00,Decent experience overall.
C00225,Email,3,11/12/2024 0:00,Could use some improvements but generally fine.
C00385,Email,3,11/6/2024 0:00,Product meets basic expectations. Response time could be faster.
C00377,Email,5,11/26/2024 0:00,Really happy with the quality and delivery time.
C00283,Email,4,11/27/2024 0:00,The product exceeded my expectations. Will buy again!
C00446,Social Media,3,8/11/2024,"Not bad, not great either. Quick response on social media."
C00121,Email,4,11/19/2024 0:00,Outstanding customer support team.
C00116,Social Media,4,12/30/2024 0:00,Very professional and efficient service.
C00461,Social Media,2,12/12/2024 0:00,Poor communication from the team.
C00233,Survey,0,11/1/2024 0:00,
C00259,Social Media,4,12/27/2024 0:00,Excellent service! Very satisfied with my purchase.
C00359,Survey,5,11/29/2024 0:00,Best shopping experience I've had in a while! Thanks for the survey follow-up.
C00198,Social Media,3,12/15/2024 0:00,Decent experience overall. Quick response on social media.
C00456,Social Media,3,12/19/2024 0:00,Average service quality.
C00411,Social Media,3,12/5/2024 0:00,Could use some improvements but generally fine.
,,4,,
C00318,Survey,3,11/14/2024 0:00,Product meets basic expectations. Thanks for the survey follow-up.
C00165,Email,4,12/5/2024 0:00,...
C00225,Survey,5,12/18/2024 0:00,Excellent service! Very satisfied with my purchase.
C00307,,5,12/15/2024 0:00,Very professional and efficient service.
C00234,Survey,4,11/20/2024 0:00,Great value for money. Highly recommended! Thanks for the survey follow-up.
C00172,Survey,5,12/26/2024 0:00,Outstanding customer support team.
C00152,Email,4,12/19/2024 0:00,The product exceeded my expectations. Will buy again! Response time could be faster.
C00463,Survey,4,11/13/2024 0:00,Outstanding customer support team. Thanks for the survey follow-up.
C00315,Social Media,1,12/8/2024 0:00,Disappointed with the service quality.
C00374,Social Media,5,12/19/2024 0:00,Excellent service! Very satisfied with my purchase. Quick response on social media.
C00160,Survey,2,2024/16/12,Poor communication from the team.
C00096,Survey,3,12/19/2024 0:00,"Not bad, not great either. Thanks for the survey follow-up."
C00472,Social Media,1,11/8/2024 0:00,Disappointed with the service quality. Quick response on social media.
C00233,Social Media,4,2024/13/12,Outstanding customer support team.
C00180,Email,3,11/20/2024 0:00,Average service quality.
C00113,,2,12/30/2024 0:00,Need to improve product quality.
C00318,Social Media,1,,Poor communication from the team. Quick response on social media.
C00497,Survey,2,11/26/2024 0:00,Not worth the price paid. Thanks for the survey follow-up.
C00442,Social Media,99,12/9/2024 0:00,Outstanding customer support team.
C00052,Email,4,11/21/2024 0:00,Outstanding customer support team.
C00268,Social Media,3,12/23/2024 0:00,"Service was okay, nothing special."
C00295,Survey,,12/19/2024 0:00,Great value for money. Highly recommended!
C00386,Survey,4,12/12/2024 0:00,
C00387,Social Media,1,12/13/2024 0:00,Product didn't meet expectations.
C00113,Survey,3,12/24/2024 0:00,Satisfactory purchase experience.
C00101,Email,5,12/11/2024 0:00,Excellent service! Very satisfied with my purchase.
C00113,Email,4,,The product exceeded my expectations. Will buy again! Response time could be faster.
C00440,Social Media,3,11/24/2024 0:00,Could use some improvements but generally fine. Quick response on social media.
C00081,Social Media,4,12/7/2024 0:00,Really happy with the quality and delivery time. Quick response on social media.
C00187,Social Media,3,12/19/2024 0:00,
C00113,Survey,4,12/11/2024 0:00,Really happy with the quality and delivery time.
C00002,Website,2,11/17/2024 0:00,Poor communication from the team.
C00130,Email,2,11/24/2024 0:00,Long waiting times for customer support. Response time could be faster.
C00220,Survey,2,11/21/2024 0:00,Product didn't meet expectations. Thanks for the survey follow-up.
C00054,Email,5,,Really happy with the quality and delivery time.
C00343,Social Media,5,2024/29/12,Excellent service! Very satisfied with my purchase.
C00485,Social Media,2,12/9/2024 0:00,Product didn't meet expectations.
C00224,Social Media,2,12/25/2024 0:00,Disappointed with the service quality.
C00225,Email,5,12/11/2024 0:00,The product exceeded my expectations. Will buy again! Response time could be faster.
C00385,Social Media,2,12/9/2024 0:00,Product didn't meet expectations. Quick response on social media.
C00403,Survey,3,11/13/2024 0:00,Could use some improvements but generally fine.
C00126,Survey,5,11/11/2024 0:00,Really happy with the quality and delivery time.
C00130,,3,12/16/2024 0:00,Average service quality.
C00053,Survey,,11/19/2024 0:00,Great value for money. Highly recommended! Thanks for the survey follow-up.
C00172,Survey,5,11/11/2024 0:00,The product exceeded my expectations. Will buy again! Thanks for the survey follow-up.
C00218,Email,3,11/13/2024 0:00,Decent experience overall. Response time could be faster.
C00160,Social Media,1,12/16/2024 0:00,Long waiting times for customer support.
C00198,,3,2024/15/12,"Service was okay, nothing special."
C00416,Invalid,5,11/1/2024 0:00,Excellent service! Very satisfied with my purchase.
C00247,Email,5,12/10/2024 0:00,
C00324,Survey,5,12/14/2024 0:00,The product exceeded my expectations. Will buy again!
C00439,Social Media,2,11/19/2024 0:00,Disappointed with the service quality.
C00203,Social Media,5,11/12/2024 0:00,Excellent service! Very satisfied with my purchase.
C00184,Email,5,11/8/2024 0:00,Very professional and efficient service.
C00123,Social Media,4,11/8/2024 0:00,The product exceeded my expectations. Will buy again! Quick response on social media.
C00401,Email,5,12/23/2024 0:00,Best shopping experience I've had in a while!
C00255,Survey,5,12/15/2024 0:00,Excellent service! Very satisfied with my purchase.
C00294,Email,4,11/12/2024 0:00,Best shopping experience I've had in a while!
C00280,Email,4,12/18/2024 0:00,Really happy with the quality and delivery time.
C00325,,3,12/3/2024 0:00,Could use some improvements but generally fine. Response time could be faster.
C00372,Email,2,2024/15/12,Long waiting times for customer support.
C00098,Survey,,11/26/2024 0:00,Outstanding customer support team.
C00198,Survey,3,12/9/2024 0:00,Could use some improvements but generally fine.
C00470,Social Media,5,11/28/2024 0:00,Outstanding customer support team. Quick response on social media.
C00395,Survey,5,12/28/2024 0:00,Really happy with the quality and delivery time.
C00240,Survey,5,11/5/2024 0:00,The product exceeded my expectations. Will buy again! Thanks for the survey follow-up.
C00144,Social Media,1,11/8/2024 0:00,Long waiting times for customer support.
C00097,Survey,3,11/25/2024 0:00,
C00201,Email,2,11/27/2024 0:00,Poor communication from the team. Response time could be faster.
C00124,Email,4,12/16/2024 0:00,Really happy with the quality and delivery time.
INVALID,Social Media,5,11/23/2024 0:00,Great value for money. Highly recommended! Quick response on social media.
C00326,Social Media,5,11/30/2024 0:00,Great value for money. Highly recommended!
C00464,Social Media,4,12/15/2024 0:00,Great value for money. Highly recommended!
C00349,Email,5,2024/17/12,Great value for money. Highly recommended! Response time could be faster.
C00259,Survey,5,11/23/2024 0:00,The product exceeded my expectations. Will buy again! Thanks for the survey follow-up.
C00148,Email,3,12/19/2024 0:00,Could use some improvements but generally fine.
C00252,Social Media,,2024/17/12,Best shopping experience I've had in a while! Quick response on social media.
C00443,Survey,3,11/20/2024 0:00,Satisfactory purchase experience.
TEST123,Survey,99,11/18/2024 0:00,Average service quality. Thanks for the survey follow-up.
C00403,Email,4,11/18/2024 0:00,Great value for money. Highly recommended!
C00346,Social Media,3,11/2/2024 0:00,Product meets basic expectations. Quick response on social media.
C00451,Email,4,11/4/2024 0:00,Really happy with the quality and delivery time.
C00147,Survey,4,11/30/2024 0:00,Great value for money. Highly recommended! Thanks for the survey follow-up.
C00148,Email,4,12/3/2024 0:00,
C00352,Email,3,12/6/2024 0:00,Average service quality.
C00199,Social Media,4,11/18/2024 0:00,Best shopping experience I've had in a while!
C00308,Social Media,4,12/7/2024 0:00,Best shopping experience I've had in a while!
C00489,Survey,4,,Excellent service! Very satisfied with my purchase.
C00417,Email,4,12/17/2024 0:00,Outstanding customer support team.
C00424,Email,1,11/28/2024 0:00,Would not recommend to others.
C00128,Email,4,12/10/2024 0:00,Very professional and efficient service.
C00039,Survey,2,11/20/2024 0:00,Need to improve product quality.
C00338,Survey,4,12/19/2024 0:00,Very professional and efficient service.
TEST123,Social Media,5,12/3/2024 0:00,Excellent service! Very satisfied with my purchase.
C00129,Social Media,4,11/12/2024 0:00,Outstanding customer support team.
C00267,Social Media,4,12/28/2024 0:00,Really happy with the quality and delivery time.
C00476,Email,5,12/21/2024 0:00,The product exceeded my expectations. Will buy again!
C00441,Email,5,,Great value for money. Highly recommended! Response time could be faster.
C00473,Social Media,5,12/11/2024 0:00,Outstanding customer support team.
C00434,Email,5,12/9/2024 0:00,Best shopping experience I've had in a while!
C00151,Social Media,,11/2/2024 0:00,Disappointed with the service quality.
C00415,Survey,2,11/29/2024 0:00,Long waiting times for customer support. Thanks for the survey follow-up.
C00478,Social Media,4,12/11/2024 0:00,Great value for money. Highly recommended!
C00298,Survey,3,11/10/2024 0:00,Decent experience overall.
C00099,Email,4,11/2/2024 0:00,Great value for money. Highly recommended!
C00263,Social Media,-1,12/21/2024 0:00,Could use some improvements but generally fine.
C00252,Email,4,11/11/2024 0:00,Really happy with the quality and delivery time.
C00144,Survey,5,11/13/2024 0:00,The product exceeded my expectations. Will buy again!
C00346,Survey,5,11/10/2024 0:00,Best shopping experience I've had in a while!
C00112,Survey,4,11/14/2024 0:00,
C00500,Email,5,11/18/2024 0:00,Really happy with the quality and delivery time. Response time could be faster.
C00060,Email,4,12/21/2024 0:00,Outstanding customer support team.
C00369,Email,5,12/24/2024 0:00,The product exceeded my expectations. Will buy again! Response time could be faster.
C00002,Email,1,11/9/2024 0:00,Disappointed with the service quality. Response time could be faster.
C00385,Survey,5,12/27/2024 0:00,Excellent service! Very satisfied with my purchase. Thanks for the survey follow-up.
C00304,Survey,4,12/9/2024 0:00,Great value for money. Highly recommended!
C00254,Social Media,3,11/28/2024 0:00,Could use some improvements but generally fine.
C00140,Social Media,2,,Need to improve product quality. Quick response on social media.
C00453,Email,4,11/20/2024 0:00,Great value for money. Highly recommended!
C00037,Survey,2,11/6/2024 0:00,Poor communication from the team.
C00160,Survey,,11/27/2024 0:00,Poor communication from the team.
C00009,Survey,4,12/23/2024 0:00,Great value for money. Highly recommended!
,Social Media,4,,Very professional and efficient service. Quick response on social media.
C00099,Social Media,4,11/29/2024 0:00,Best shopping experience I've had in a while! Quick response on social media.
C00147,Survey,5,12/8/2024 0:00,Very professional and efficient service.
C00304,Survey,4,11/3/2024 0:00,Excellent service! Very satisfied with my purchase.
C00208,Survey,4,11/16/2024 0:00,Excellent service! Very satisfied with my purchase.
C00131,Social Media,1,11/30/2024 0:00,Poor communication from the team.
C00404,Survey,5,12/10/2024 0:00,Excellent service! Very satisfied with my purchase.
C00152,Survey,3,11/2/2024 0:00,Average service quality. Thanks for the survey follow-up.
C00054,Email,5,11/17/2024 0:00,Very professional and efficient service.
C00120,Email,5,12/11/2024 0:00,Very professional and efficient service.
C00161,Social Media,4,11/12/2024 0:00,Best shopping experience I've had in a while!
,Survey,2,5/12/2024,Disappointed with the service quality.
C00116,Survey,,12/13/2024 0:00,The product exceeded my expectations. Will buy again!
C00075,Email,,11/1/2024 0:00,Great value for money. Highly recommended! Response time could be faster.
C00113,Social Media,2,12/25/2024 0:00,Would not recommend to others. Quick response on social media.
C00456,Email,3,12/15/2024 0:00,Satisfactory purchase experience.
C00420,Email,5,11/15/2024 0:00,Best shopping experience I've had in a while!
C00422,Email,2,11/26/2024 0:00,Poor communication from the team.
C00104,Email,5,12/7/2024 0:00,Really happy with the quality and delivery time.
C00340,Survey,4,11/21/2024 0:00,Outstanding customer support team.
C00254,Survey,,12/19/2024 0:00,Long waiting times for customer support. Thanks for the survey follow-up.
C00227,Email,5,12/1/2024 0:00,Very professional and efficient service.
C00112,Social Media,3,11/25/2024 0:00,"Not bad, not great either. Quick response on social media."
C00473,Social Media,4,11/23/2024 0:00,Really happy with the quality and delivery time.
C00099,Social Media,2,11/24/2024 0:00,Need to improve product quality.
C00153,Social Media,1,,Need to improve product quality. Quick response on social media.
