Customer ID,Feedback Channel,Rating,Date,Comment,Sentiment
C00364,Social Media,2.0,12/22/2024 0:00,disappointed with the service quality,negative
C00055,Social Media,4.0,11/14/2024 0:00,outstanding customer support team,positive
C00244,Social Media,5.0,12/6/2024 0:00,excellent service very satisfied with my purchase,positive
C00320,Survey,2.0,,would not recommend to others thanks for the survey followup,positive
C00131,Survey,5.0,11/17/2024 0:00,excellent service very satisfied with my purchase,positive
,Social Media,4.0,12/9/2024 0:00,best shopping experience wive had in a while,positive
C00307,Email,5.0,11/9/2024 0:00,very professional and efficient service,positive
C00135,Social Media,3.0,12/5/2024 0:00,decent experience overall quick response on social media,positive
C00021,Email,5.0,,really happy with the quality and delivery time,positive
,,5.0,11/13/2024 0:00,outstanding customer support team,positive
C00167,Social Media,3.0,,could use some improvements but generally fine,positive
C00274,Survey,2.0,11/18/2024 0:00,no comment,neutral
C00388,Email,5.0,12/21/2024 0:00,best shopping experience wive had in a while,positive
C00089,Email,5.0,12/3/2024 0:00,the product exceeded my expectations will buy again,neutral
C00316,Survey,1.0,11/6/2024 0:00,product didst meet expectations thanks for the survey followup,positive
C00014,Survey,5.0,12/29/2024 0:00,really happy with the quality and delivery time,positive
C00242,Survey,5.0,11/27/2024 0:00,best shopping experience wive had in a while,positive
C00265,Survey,5.0,11/23/2024 0:00,great value for money highly recommended thanks for the survey followup,positive
C00346,,5.0,12/29/2024 0:00,really happy with the quality and delivery time,positive
C00053,Email,5.0,11/27/2024 0:00,great value for money highly recommended,positive
C00386,Social Media,4.0,12/4/2024 0:00,really happy with the quality and delivery time,positive
C00340,Social Media,3.0,12/26/2024 0:00,product meets basic expectations,neutral
C00092,Survey,3.0,12/16/2024 0:00,no comment,neutral
C00367,Survey,5.0,12/8/2024 0:00,the product exceeded my expectations will buy again thanks for the survey followup,positive
C00444,Survey,5.0,11/14/2024 0:00,excellent service very satisfied with my purchase,positive
C00455,Social Media,3.0,12/6/2024 0:00,not bad not great either,negative
C00428,Social Media,5.0,12/23/2024 0:00,best shopping experience wive had in a while,positive
C00264,Social Media,5.0,11/8/2024 0:00,really happy with the quality and delivery time,positive
C00431,Social Media,4.0,12/5/2024 0:00,no comment,neutral
C00035,Social Media,4.0,11/19/2024 0:00,outstanding customer support team quick response on social media,positive
C00206,Social Media,4.0,11/30/2024 0:00,great value for money highly recommended,positive
C00081,Social Media,,,need to improve product quality,neutral
C00420,Survey,3.0,12/29/2024 0:00,satisfactory purchase experience,neutral
C00050,,1.0,2024/20/11,disappointed with the service quality,negative
C00360,Survey,2.0,12/19/2024 0:00,no comment,neutral
C00388,Survey,4.0,11/25/2024 0:00,outstanding customer support team,positive
C00002,Social Media,4.0,12/10/2024 0:00,the product exceeded my expectations will buy again,neutral
C00390,Email,1.0,11/24/2024 0:00,need to improve product quality,neutral
C00054,Social Media,,11/14/2024 0:00,great value for money highly recommended quick response on social media,positive
C00106,Email,3.0,11/26/2024 0:00,product meets basic expectations,neutral
C00260,Survey,5.0,12/8/2024 0:00,excellent service very satisfied with my purchase,positive
C00310,Social Media,5.0,11/23/2024 0:00,the product exceeded my expectations will buy again,neutral
C00477,Survey,2.0,11/22/2024 0:00,no comment,neutral
C00191,Social Media,4.0,12/18/2024 0:00,the product exceeded my expectations will buy again quick response on social media,positive
C00402,Survey,1.0,12/27/2024 0:00,no comment,neutral
C00218,Email,4.0,11/19/2024 0:00,best shopping experience wive had in a while,positive
C00044,Email,4.0,12/16/2024 0:00,,unknown
C00162,Email,3.0,12/21/2024 0:00,decent experience overall,positive
C00202,Social Media,4.0,11/3/2024 0:00,best shopping experience wive had in a while,positive
